Iteration,Generator Loss,Discriminator Loss
0,0.7529464364051819,1.40032958984375
1,0.5606040954589844,1.6086370944976807
2,0.4752366542816162,1.7529898881912231
3,0.4274636209011078,1.856330156326294
4,0.412148118019104,1.8921260833740234
5,0.41982918977737427,1.8807311058044434
6,0.438048779964447,1.842634916305542
7,0.45705756545066833,1.8005441427230835
8,0.4920558035373688,1.7328290939331055
9,0.5157123804092407,1.6949470043182373
10,0.5385527610778809,1.6470873355865479
11,0.551496684551239,1.6341654062271118
12,0.5640798211097717,1.5844522714614868
13,0.585329532623291,1.565108299255371
14,0.6006079912185669,1.531302809715271
15,0.6130625605583191,1.5045439004898071
16,0.6173624396324158,1.4866023063659668
17,0.6164848804473877,1.4726991653442383
18,0.6344195008277893,1.4506785869598389
19,0.6417679190635681,1.462654948234558
20,0.6511219143867493,1.4248969554901123
21,0.6614184379577637,1.4134876728057861
22,0.6690876483917236,1.4026448726654053
23,0.6731517314910889,1.395720362663269
24,0.6925635933876038,1.3678419589996338
25,0.7095449566841125,1.350936770439148
26,0.7143434882164001,1.351316213607788
27,0.723587155342102,1.3200464248657227
28,0.741119921207428,1.2830923795700073
29,0.75151127576828,1.2730941772460938
30,0.7597928643226624,1.257131576538086
31,0.771983802318573,1.2331976890563965
32,0.7780024409294128,1.2382349967956543
33,0.7799062728881836,1.2021328210830688
34,0.7976687550544739,1.2032229900360107
35,0.7930150032043457,1.2032649517059326
36,0.7987636923789978,1.1813218593597412
37,0.8117635250091553,1.171905279159546
38,0.8065057992935181,1.187821626663208
39,0.8109188675880432,1.1545298099517822
40,0.8294515609741211,1.1359868049621582
41,0.8241539597511292,1.1276357173919678
42,0.8174625635147095,1.1387481689453125
43,0.8279822468757629,1.1260898113250732
44,0.8522508144378662,1.0888125896453857
45,0.8579702377319336,1.0769284963607788
46,0.8584110736846924,1.0595824718475342
47,0.8597192168235779,1.0602326393127441
48,0.8630018830299377,1.0649454593658447
49,0.8638484477996826,1.084121584892273
50,0.8797550201416016,1.0548820495605469
51,0.9015798568725586,1.0169178247451782
52,0.9219081997871399,1.001469373703003
53,0.9182588458061218,0.9971605539321899
54,0.9235447645187378,1.0127078294754028
55,0.9333799481391907,0.9893507361412048
56,0.9580625295639038,0.9781583547592163
57,0.963578999042511,0.9691064357757568
58,0.9427477717399597,0.9718567132949829
59,0.9404160380363464,0.963813304901123
60,0.9608513116836548,0.950141429901123
61,0.9747723340988159,0.9429075121879578
62,0.9764084815979004,0.954364001750946
63,0.9677162766456604,0.9493986368179321
